,original_text,sampled_text,original_crit,sampled_crit,original_llm_likelihood,sampled_llm_likelihood
0,"Introduction:
The film ""12 Years a Slave"" serves as a poignant depiction of the harrowing realities of slavery, shedding light on themes of collectivism and individualism. Through its exploration of these themes, the movie effectively portrays slavery as a widespread issue with far-reaching consequences. Moreover, it vividly portrays instances of prejudice, generalizations, stereotyping, and discr","Introduction:
The film ""12 Years a Bondslave"" serves as a poignant depiction with the harrowing realities of slavery, shedding light in themes of collectivism and individualism. Through its exploration of these themes, the movie effectively portrays slavery as a widespread issue with far-reaching consequences. Moreover, it vividly portrays instances of prejudice, generalizations, stereotyping, and discr",0.3293232321739197,0.0042233699932694435,0.3293232321739197,0.0042233699932694435
1,"In today's digital age, social media has become an integral part of everyone's lives. Whether it is for personal or business use, social media platforms provide a powerful medium for communication and connection. To tap into the potential benefits of social media initiatives, effective change leadership is crucial. However, it is equally important to address the potential ethical issues that may a","In today's digital age, social networks has become an integral facet of everyone's lives. Whether it is for personal or business use, social networks platforms provide a powerful medium for communication and connection. To tap into the potential benefits of social modalities initiatives, effective change leadership is crucial. However, it is equally important to address the potential ethical issues that may a",0.3028303384780884,0.007093445863574743,0.3028303384780884,0.007093445863574743
2,"The Ukraine-Russia conflict has been an ongoing geopolitical crisis that has captured the attention of the international community for several years. As with any major international event, the media plays a crucial role in shaping public opinion and disseminating information. In this essay, we will conduct a comparative study of the coverage provided by two of the world's most prominent newspapers","The Ukraine-Russia conflict has been an ongoing geopolitical crisis that has captured the attention with the international population for several years. As with any major international event, the media plays a crucial aspect in shaping public opinion and disseminating information. In this essay, we will conduct a comparative study as the coverage provided among two of the world's most prominent newspapers",0.9781450629234314,0.04138708487153053,0.9781450629234314,0.04138708487153053
3,"The Charles Schwab Corporation, commonly known as CSC, is a financial services company operating in the United States. Established in 1971, CSC has grown to become a prominent provider of brokerage, banking, and wealth management services. When examining the form of business in CSC, it is evident that it operates as a publicly traded corporation, which sets it apart from other types of organizatio","The Charles Schwab Corporation, commonly known like CSC, is a financial services company operating in the United States. Established in 1971, CSC has grown to become a prominent provider as brokerage, banking, and wealth provision services. When examining the form of business in CSC, it is evident that it operates as a publicly traded corporation, which sets it apart unlike other types of organizatio",0.24371866881847382,0.0008791269501671195,0.24371866881847382,0.0008791269501671195
4,"Prompt: Reflecting on Cost Considerations and Preparedness for Interviews and Work Attire in the Medical Office Assistant Profession
Essay:
Choosing a career in the medical field comes with its own set of challenges and considerations. One crucial aspect that demands thoughtful attention is the cost considerations and preparedness for interviews and work attire. As future medical office assistants","Prompt: Reflecting on Cost Considerations and Preparedness for Interviews and Work Attire in the Medical Office Assistant Profession
Essay:
Choosing a career in the medical field comes with its characteristic array in challenges and considerations. One crucial aspect that demands thoughtful attention reflects the cost considerations and preparedness for interviews and work attire. As future medical office assistants",0.06896159797906876,0.022625774145126343,0.06896159797906876,0.022625774145126343
5,"Introduction (100 words)
In every tight-knit community, there exists a remarkable event that leaves a lasting impact, shaping the lives of participants and providing essential support to those in need. Such a significant gathering serves as a catalyst for the sharing of stories, memories, and ideas, while simultaneously leading to economic growth and social progression. This essay will recount a p","Introduction (100 words)
In every tight-knit community, there exists a remarkable event that leaves a lasting impact, shaping the lives of participants and providing essential support to those in lack. Such a significant gathering serves as a catalyst for the sharing in stories, memories, and ideas, while simultaneously leading to economic growth and social progression. This essay will recount a p",0.1505585014820099,0.05571676045656204,0.1505585014820099,0.05571676045656204
6,"In the film Every Secret Thing, the complex emotional attachment between Alice and her mother plays a pivotal role in the events that unfold. The mother complex and the mother archetype contribute to shaping their relationship, ultimately leading to the tragic kidnappings and murders that occur throughout the film.
The mother complex is a psychological concept that describes an individual's emotio","In the film Every Secret Thing, the complex emotional attachment between Alice or her mother plays a pivotal function in the events that unfold. The mother complex and the mother archetype contribute to shaping their relationship, ultimately leading to the tragic kidnappings and murders that occur throughout the story.
The mother complex is a psychological concept that describes an individual's emotio",0.6804062724113464,0.7154856324195862,0.6804062724113464,0.7154856324195862
7,"The incident at the Chicago hot dog restaurant raises important ethical questions that must be analyzed from different moral perspectives in order to determine the morality of the offender's actions. This incident involves an employee at the hot dog restaurant deliberately contaminating a customer's food due to a personal grudge. To analyze this situation, we will consider the utilitarian and Kant","The incident at the Chicago hot dog restaurant raises important ethical puzzles that must take analyzed from different moral perspectives in order to determine the morality of the offender's actions. This incident involves an employee at the hot wiener restaurant deliberately contaminating a customer's food due to a personal grudge. To analyze this situation, we will consider the utilitarian and Kant",0.1317279189825058,0.00034736451925709844,0.1317279189825058,0.00034736451925709844
8,"Public transportation plays a crucial role in connecting communities and providing an accessible and affordable means of transportation for millions of commuters worldwide. However, it is not without its challenges. From overcrowding to unreliable schedules, public transportation systems often face numerous obstacles that limit their effectiveness and convenience for commuters. In this essay, we w","Public transportation plays a crucial significance as connecting communities and providing an accessible and affordable means of transportation for millions on commuters worldwide. However, it is not without its challenges. From overcrowding to unreliable schedules, public conveyance systems often face numerous obstacles that limit their effectiveness and convenience for commuters. In this essay, we w",0.22968770563602448,0.0006198667106218636,0.22968770563602448,0.0006198667106218636
9,"The study conducted in Malawi on the impact of financial assistance on reducing the spread of HIV among young girls is a significant contribution to the field of public health research. This study, which employed both primary and secondary sources, utilized an experimental design to investigate the effects of financial assistance on HIV prevention strategies. The findings of the study have importa","The study conducted in Malawi on the impact in financial assistance on reducing the spread with HIV among young girls is a significant contribution to the field of public health research. This study, which employed both primary and auxiliary sources, utilized an experimental design to investigate the effects of financial assistance on HIV prevention strategies. The findings of the study have importa",0.17818152904510498,0.028104690834879875,0.17818152904510498,0.028104690834879875
