,original_text,sampled_text,original_crit,sampled_crit,original_llm_likelihood,sampled_llm_likelihood
0,"Between 1891 and 1948, a total of 11 primary plant phenophases were consistently recorded over a span of 58 years. Additionally, 14 phenophases were documented during the subsequent 20 years, from 1929 to 1948. These findings were compiled annually in the 
In 1960, Jeffree summarized the data collected over the 58-year period, revealing that flowering dates could vary significantly, with some species flowering as much as 21 days earlier","Between 1891 plus 1948, a whole of 11 primary plant phenophases happened consistently recorded of a frequency with eight years. Additionally, 14 phenophases were documented during the subsequent 20 years, since 1929 to 1948. These findings were compiled annually inside the In 1960, Jeffree summarized the data collected over the 58-year period, revealing that flowering dates could distribute significantly, with some species flowering as much as 21 days earlier",-1.8382655382156372,-2.658449411392212,0.4489795918367347,0.15306122448979592
1,"Amphibians possess a three-chambered heart, consisting of two atria and one ventricle. They have a urinary bladder, and their primary nitrogenous waste product is urea. Amphibians utilize buccal pumping for respiration, a process in which air is drawn into the buccopharyngeal region through the nostrils. The nostrils are then closed, and the air is pushed into the lungs by the contraction of the throat muscles. Additionally, amphibians ","Amphibians possess a three-chambered entity, consisting of two atria or one ventricle. They have a physiological bladder, and their primary nitrogenous waste productivity is urea. forms utilize oral pumping via respiration, a process while which air is brought into the buccopharyngeal region through the nostrils. The nostrils are then closed, and the air is pushed into the lungs by the contraction of the throat muscles. well, amphibians",-0.9222883582115173,-1.7583539485931396,0.79,0.28
2,"On the Origin of Species,"" published in 1859 by Charles Darwin, presents the theory of evolution through natural selection. Darwin proposed that the characteristics of all living organisms, including humans, are shaped by natural processes of descent with modification, leading to divergence over extended periods. This foundational theory has profoundly influenced nearly all areas of biology.

In a separate development, Gregor Mendel est","With the Origin of Types,"" published in 1859 by Charles Darwin, presents the theory with evolution among natural selection. Darwin proposed that the characteristics of all living organisms, including humans, are shaped by ecological processes of descent with modification, leading to divergence beyond extended periods. This essential theory has profoundly influenced nearly all vectors of biology. In a separate enhancement, Gregor Mendel est",-1.1354950666427612,-2.351701498031616,0.67,0.23
3,"Extremophiles are organisms that thrive in extreme environments, such as ice, boiling water, highly acidic or alkaline conditions, the water core of nuclear reactors, salt crystals, and toxic waste. The discovery of these organisms has significantly broadened the understanding of potential habitats for life beyond Earth, thereby advancing the field of astrobiology.

Research into extremophiles, their environments, and their evolutionary","lifeforms are things that thrive in stringent environments, particular for ice, boiling stream, highly biting or alkaline conditions, the water core of nuclear reactors, salt crystals, and toxic waste. The discovery in these organisms has significantly broadened the understanding of potential habitats for life beyond Earth, thereby advancing the field of astrobiology. Research into extremophiles, their environments, plus their evolutionary",-1.0323996543884277,-2.27394437789917,0.75,0.18
4,"Microbiology is the scientific study of microorganisms, which include unicellular (single-celled), multicellular (composed of complex cells), and acellular (lacking cells) entities. The field encompasses various sub-disciplines, such as virology, bacteriology, protistology, mycology, immunology, and parasitology.

Microorganisms are classified into two main categories: eukaryotic and prokaryotic. Eukaryotic microorganisms, which include","Microfauna is the scientific study of microorganisms, which include unicellular (single-celled), multicellular (composed of formidable cells), and acellular (lacking agents) entities. the field integrates various sub-disciplines, similar as virology, bacteriology, protistology, mycology, immunology, plus parasitology. Microorganisms are classified into two main categories: eukaryotic and prokaryotic. Eukaryotic microorganisms, which include",-0.6063136458396912,-1.1374939680099487,0.87,0.6666666666666666
5,"A species is defined as a group of organisms that can interbreed and produce fertile offspring. Speciation is the evolutionary process through which a single lineage diverges into two distinct lineages, resulting from independent evolutionary paths. For speciation to occur, reproductive isolation is essential. This isolation can arise from genetic incompatibilities, as explained by the Bateson–Dobzhansky–Muller model. Additionally, repr","A species is defined as a group of groups that can interbreed and forth fertile offspring. Speciation is the evolutionary process through which a single lineage diverges into two distinct lineages, resulting because autonomous evolutionary paths. For speciation to occur, reproductive isolation is essential. This isolation can place of genetic incompatibilities, as revealed by the Bateson–Dobzhansky–Muller model. Additionally, propagate",-0.9183650612831116,-1.5525747537612915,0.76,0.5353535353535354
6,"Forensic toxicology involves the analysis of biological samples to determine the presence and concentration of drugs, chemicals, and other substances. The results of these analyses can help establish the cause and manner of death, evaluate the role of substances in impairment or toxicity, and provide critical evidence in both criminal and civil legal proceedings.

This field requires a comprehensive understanding of pharmacokinetics—the","regulatory toxicology involves the analysis about biological samples to determine the presence plus concentration of drugs, chemicals, or other substances. The results of these analyses can help identify the cause and manner about death, evaluate the role of substances in reduction or toxicity, and provide critical evidence through both criminal and civil permissible proceedings. This field requires a comprehensive understanding of pharmacokinetics—the",-0.832970380783081,-1.7230329513549805,0.7171717171717171,0.4
7,"Lipidomic analysis is a scientific method used to identify and quantify the various lipids present in biological systems. Lipids play essential roles in numerous physiological processes, making it important to understand the specific types and concentrations of lipids in the body. This understanding can provide valuable insights into diseases associated with lipid imbalances.

Common methods of lipidomic analysis include mass spectromet","Lipidomic analysis is a scientific design used to identify plus summarize the various oils present in biological systems. Lipids play indispensable roles in numerous physiological processes, making it important to acknowledge the specific differentiations plus concentrations of lipids among the body. This understanding can provide valuable insights into diseases associated with lipid imbalances. Common methods of lipidomic analysis include mass spectromet",-0.8644050359725952,-1.7478406429290771,0.7878787878787878,0.31313131313131315
8,"The origin of life, referred to as abiogenesis, is a distinct area of research separate from the evolution of life. Scientists such as Alexander Oparin and J.B.S. Haldane proposed that the conditions present on early Earth were favorable for the synthesis of organic compounds from inorganic elements. This process is believed to have contributed to the formation of many essential chemicals common to all known forms of life.

Research in ","The start of life, referred to as abiogenesis, is a distinct area of research individual beyond the evolution of existence. Scientists such as Xander pioneer and J.B.S. Haldane proposed that the conditions present on early Earth were favorable for the synthesis of organic blends from inorganic elements. This process is believed to have contributed to the formation about many central chemicals usual to all known forms of life. Research in",-1.1000816822052002,-2.097994565963745,0.69,0.2222222222222222
9,"In genetic inheritance, both parents must possess a copy of a recessive allele for their offspring to be affected by a recessive condition. Consequently, these parents are referred to as carriers of the condition. 

In the case of autosomal conditions, the sex of the offspring does not influence their likelihood of being affected. However, for sex-linked conditions, the sex of the offspring plays a significant role in determining their ","into genetic inheritance, both parents ought possess a copy of another recessive allele with their offspring to be concerned by a recessive anomaly. Consequently, these parents are referred to as carriers as the condition. In the case about autosomal conditions, the sex of the offspring does not influence his likelihood of being affected. However, for sex-linked conditions, those sex of the offspring plays a significant role in determining their",-0.9314903616905212,-1.7299340963363647,0.75,0.39
